,parentTconst,primaryTitle,seasonNumber,year,numSeasons,startYear,averageRating,numVotes,avgVotes,intYear,yearVotes,propVotes
5321,tt0096657,Mr. Bean,1.0,1990.0,1.0,1990.0,8.626666666666667,22002,22002.0,1990,168058,13.091908745790144
5456,tt0098749,"Beverly Hills, 90210",1.0,1990.0,10.0,1990.0,6.781818181818181,6057,3851.9,1990,168058,3.604112865796332
5483,tt0098769,The Civil War,1.0,1990.0,1.0,1990.0,8.5,2882,2882.0,1990,168058,1.714884147139678
5522,tt0098798,The Flash,1.0,1990.0,1.0,1990.0,7.677272727272728,4253,4253.0,1990,168058,2.5306739339989766
5523,tt0098800,The Fresh Prince of Bel-Air,1.0,1990.0,6.0,1990.0,7.580000000000001,20539,14679.0,1990,168058,12.22137595353985
5530,tt0098802,Get a Life,1.0,1990.0,2.0,1990.0,8.85909090909091,5208,4022.0,1990,168058,3.0989301312642064
5596,tt0098825,House of Cards,1.0,1990.0,1.0,1990.0,8.525,1549,1549.0,1990,168058,0.9217056016375299
5598,tt0098830,In Living Color,1.0,1990.0,5.0,1990.0,7.038461538461538,874,1044.0,1990,168058,0.5200585512144617
5604,tt0098833,Jeeves and Wooster,1.0,1990.0,4.0,1990.0,8.14,1401,1148.25,1990,168058,0.8336407668781016
5610,tt0098837,Keeping Up Appearances,1.0,1990.0,5.0,1990.0,7.9799999999999995,2266,1713.4,1990,168058,1.3483440240869224
5616,tt0098844,Law & Order,1.0,1990.0,20.0,1990.0,7.781818181818181,6959,4987.65,1990,168058,4.14083233169501
5648,tt0098878,Northern Exposure,1.0,1990.0,6.0,1990.0,8.0625,2070,2571.8333333333335,1990,168058,1.2317176212974092
5665,tt0098887,Parenthood,1.0,1990.0,1.0,1990.0,9.058333333333334,2038,2038.0,1990,168058,1.2126765759440192
5711,tt0098924,TaleSpin,1.0,1990.0,1.0,1990.0,8.40454545454545,6013,6013.0,1990,168058,3.577931428435421
5713,tt0098929,Tiny Toon Adventures,1.0,1990.0,3.0,1990.0,7.659999999999999,3693,1781.6666666666667,1990,168058,2.1974556403146535
5721,tt0098936,Twin Peaks,1.0,1990.0,2.0,1990.0,8.625,45898,60836.0,1990,168058,27.310809363434053
5734,tt0098948,Wings,1.0,1990.0,8.0,1990.0,7.6499999999999995,901,1884.75,1990,168058,0.5361244332313844
5752,tt0099864,It,1.0,1990.0,1.0,1990.0,6.9,3518,3518.0,1990,168058,2.0933249235383022
